workload,model,param,seconds,speedup_vs_serial
cpu,serial,0,24.241081300002406,1.0
cpu,threads,1,27.81165780000447,0.8716158337026033
cpu,procs,1,17.986784199994872,1.3477162471326762
cpu,threads,2,18.72852609999245,1.2943400441966535
cpu,procs,2,11.848989300007815,2.0458353608257895
cpu,threads,4,24.567115199999535,0.9867288488150561
cpu,procs,4,8.736670199999935,2.7746361880528108
cpu,threads,8,24.060247200002777,1.0075158870354253
cpu,procs,8,3.9665279000037117,6.111410763045363
io,serial,0,3.4555911000061315,1.0
io,threads,1,3.4356673000002047,1.0057991063354492
io,procs,1,3.806596200010972,0.907790298323781
io,threads,2,1.68621919999714,2.04931310236059
io,procs,2,2.0430569000018295,1.6913827020691579
io,threads,4,0.8434108000074048,4.097162497771896
io,procs,4,2.273899400010123,1.519676332203064
io,threads,8,0.4038526000076672,8.556565192202617
io,procs,8,1.647741099994164,2.097168723908368
io,threads,16,0.2186064000125043,15.80736474233358
io,procs,16,3.9184069000039017,0.8818867433095554
io,async,100,0.24493770000117365,14.108040942613462
io,async,500,0.09718409999914002,35.5571652156753
io,async,1000,0.07545419999223668,45.79720016064937
